ID,Class,Order,Family,Genus,Species,SciName,CommonName,PreyGroup,PreyMass
50,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
51,Mammalia,Carnivora,Procyonidae,Procyon,lotor,Procyon lotor,Raccoon,Mesomammal,5525
52,Aves,Pelecaniformes,Threskiornithidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Wading Bird,NA
53,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
54,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
55,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
56,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
57,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
58,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
59,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
60,Aves,Gruiformes,Rallidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Secretive Marsh Bird,NA
61,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
62,Mammalia,Rodentia,Sciuridae,Sciurus,sp,Sciurus sp,Unidentifiable squirrel,Small Mammal,NA
63,Mammalia,Rodentia,Cricetidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Small Mammal,NA
64,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
65,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
66,Mammalia,Rodentia,Muridae,Rattus,sp,Rattus sp,Unidentifiable rat,Small Mammal,NA
67,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
68,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
69,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
70,Aves,Gruiformes,Rallidae,Gallinula,galeata,Gallinula galeata,Common Gallinule,Secretive Marsh Bird,340
71,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
72,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
73,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
74,Aves,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Bird,NA
75,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
76,Mammalia,Rodentia,Muridae,Rattus,sp,Rattus sp,Unidentifiable rat,Small Mammal,NA
77,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
78,Mammalia,Rodentia,Cricetidae,Oryzomys,palustris,Oryzomys palustris,Marsh Rice Rat,Small Mammal,54
79,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
80,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
81,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,American Alligator,Reptile,62000
82,Mammalia,Carnivora,Felidae,Felis,catus,Felis catus,Domestic Cats,Mesomammal,2885
83,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
84,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
85,Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,Virginia Opossum,Mesomammal,2195
86,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
87,Mammalia,Rodentia,Muridae,Rattus,sp,Rattus sp,Unidentifiable rat,Small Mammal,NA
88,Aves,Gruiformes,Rallidae,Rallus,elegans,Rallus elegans,King Rail,Secretive Marsh Bird,313
