X10Jun22Order,PythonID,PythonIDType,MassG,Sex,Class,Order,Family,Genus,Species,SciName,CommonName,PreyGroup,PreyMass
495,926,Snow number_EVER,4320,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
496,927,Snow number_EVER,24020,f,Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,Virginia Opossum,Mesomammal,2195
497,929,Snow number_EVER,110,f,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
498,931,Snow number_EVER,160,f,Mammalia,Rodentia,Cricetidae,Oryzomys,palustris,Oryzomys palustris,Marsh Rice Rat,Small Mammal,54
499,931,Snow number_EVER,160,f,Mammalia,Rodentia,Cricetidae,Oryzomys,palustris,Oryzomys palustris,Marsh Rice Rat,Small Mammal,54
500,933,Snow number_EVER,NA,NA,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
501,934,Snow number_EVER,3920,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
502,936,Snow number_EVER,110,f,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
503,937,Snow number_EVER,1710,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
504,938,Snow number_EVER,2230,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
505,939,Snow number_EVER,680,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
506,943,Snow number_EVER,3330,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
507,945,Snow number_EVER,120,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
508,948,Snow number_EVER,6580,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
509,953,Snow number_EVER,1010,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
510,957,Snow number_EVER,5340,f,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
511,958,Snow number_EVER,3930,m,Mammalia,Rodentia,Muridae,Rattus,sp,Rattus sp,Unidentifiable rat,Small Mammal,NA
512,961,Snow number_EVER,2870,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
513,962,Snow number_EVER,4250,NA,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
514,963,Snow number_EVER,NA,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
515,964,Snow number_EVER,7660,NA,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
516,964,Snow number_EVER,7660,NA,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
517,964,Snow number_EVER,7660,NA,Aves,Pelecaniformes,Ardeidae,Ardea,alba,Ardea alba,Great Egret,Wading Bird,907
518,965,Snow number_EVER,3850,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
519,966,Snow number_EVER,8400,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
520,966,Snow number_EVER,8400,m,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
521,966,Snow number_EVER,8400,m,Mammalia,Rodentia,Sciuridae,Sciurus,niger,Sciurus niger,Fox Squirrel,Small Mammal,762
522,967,Snow number_EVER,1220,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
523,968,Snow number_EVER,7520,f,Mammalia,Rodentia,Cricetidae,Oryzomys,palustris,Oryzomys palustris,Marsh Rice Rat,Small Mammal,54
524,970,Snow number_EVER,770,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
525,974,Snow number_EVER,6462,m,Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,Virginia Opossum,Mesomammal,2195
526,976,Snow number_EVER,290,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
527,977,Snow number_EVER,NA,NA,Aves,Pelecaniformes,Ardeidae,Egretta,sp,Egretta sp,Unidentifiable egret,Wading Bird,NA
528,978,Snow number_EVER,7990,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
529,978,Snow number_EVER,7990,m,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Sylvilagus floridanus,Eastern Cottontail,Rabbit,1173
530,979,Snow number_EVER,NA,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
531,980,Snow number_EVER,NA,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
532,983,Snow number_EVER,5690,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
533,984,Snow number_EVER,11410,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
534,985,Snow number_EVER,10840,f,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,American Alligator,Reptile,62000
535,985,Snow number_EVER,10840,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
536,985,Snow number_EVER,10840,f,Aves,Galliformes,Phasianidae,Gallus,gallus,Gallus gallus,Chicken,Domestic Bird,751
537,985,Snow number_EVER,10840,f,Aves,Ciconiiformes,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Wading Bird,751
538,989,Snow number_EVER,10110,f,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
539,991,Snow number_EVER,210,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
540,993,Snow number_EVER,5150,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
541,997,Snow number_EVER,6990,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
542,1003,Snow number_EVER,7240,NA,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
543,1005,Snow number_EVER,4740,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
544,1006,Snow number_EVER,6870,NA,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
545,1008,Snow number_EVER,3400,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
546,1009,Snow number_EVER,2750,m,Mammalia,Rodentia,Cricetidae,Neotoma,floridana,Neotoma floridana smalli,Key Largo Woodrat,Small Mammal,200
547,1012,Snow number_EVER,14000,m,Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,Virginia Opossum,Mesomammal,2195
548,1013,Snow number_EVER,15232,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
549,1013,Snow number_EVER,15232,f,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Sylvilagus floridanus,Eastern Cottontail,Rabbit,1173
550,1014,Snow number_EVER,10040,m,Mammalia,Rodentia,Muridae,Rattus,sp,Rattus sp,Unidentifiable rat,Small Mammal,NA
551,1015,Snow number_EVER,5850,m,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
552,1021,Snow number_EVER,6320,NA,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,Botaurus lentiginosus,American Bittern,Secretive Marsh Bird,706
553,1023,Snow number_EVER,9720,m,Aves,Gruiformes,Rallidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Secretive Marsh Bird,NA
554,1023,Snow number_EVER,9720,m,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
555,1027,Snow number_EVER,12240,m,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,American Alligator,Reptile,62000
556,1028,Snow number_EVER,8200,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
557,1028,Snow number_EVER,8200,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
558,1029,Snow number_EVER,4740,m,Mammalia,Rodentia,Cricetidae,Oryzomys,palustris,Oryzomys palustris,Marsh Rice Rat,Small Mammal,54
559,1030,Snow number_EVER,43910,f,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,American Alligator,Reptile,62000
560,1031,Snow number_EVER,8620,m,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,Botaurus lentiginosus,American Bittern,Secretive Marsh Bird,706
561,1031,Snow number_EVER,8620,m,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,Botaurus lentiginosus,American Bittern,Secretive Marsh Bird,706
562,1032,Snow number_EVER,5860,m,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,Botaurus lentiginosus,American Bittern,Secretive Marsh Bird,706
563,1032,Snow number_EVER,5860,m,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,Botaurus lentiginosus,American Bittern,Secretive Marsh Bird,706
564,1036,Snow number_EVER,5850,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
565,1036,Snow number_EVER,5850,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
566,1037,Snow number_EVER,11760,f,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
567,1038,Snow number_EVER,8370,f,Aves,Gruiformes,Rallidae,Fulica,americana,Fulica americana,American Coot,Secretive Marsh Bird,637
568,1041,Snow number_EVER,NA,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
569,1043,Snow number_EVER,6020,m,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
570,1044,Snow number_EVER,590,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
571,1045,Snow number_EVER,NA,NA,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
572,1047,Snow number_EVER,6570,m,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
573,1047,Snow number_EVER,6570,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
574,1047,Snow number_EVER,6570,m,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
575,1111,Snow number_EVER,5820,m,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
576,1112,Snow number_EVER,6820,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
577,1113,Snow number_EVER,2990,m,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
578,1114,Snow number_EVER,4880,m,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
579,1115,Snow number_EVER,NA,NA,Mammalia,Rodentia,Cricetidae,Peromyscus,gossypinus,Peromyscus gossypinus,Cotton Mouse,Small Mammal,29
580,1116,Snow number_EVER,8230,m,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
581,1117,Snow number_EVER,5870,NA,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
582,1119,Snow number_EVER,9150,m,Aves,Pelecaniformes,Ardeidae,Butorides,virescens,Butorides virescens,Green Heron,Wading Bird,202
583,1120,Snow number_EVER,510,f,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
584,1120,Snow number_EVER,510,f,Mammalia,Rodentia,Muridae,Rattus,sp,Rattus sp,Unidentifiable rat,Small Mammal,NA
585,1121,Snow number_EVER,NA,NA,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
586,1122,Snow number_EVER,NA,NA,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
587,1122,Snow number_EVER,NA,NA,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
588,1123,Snow number_EVER,4250,NA,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
589,1126,Snow number_EVER,8710,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
590,1128,Snow number_EVER,6698,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
591,1129,Snow number_EVER,6620,m,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,American Alligator,Reptile,62000
592,1130,Snow number_EVER,6760,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
593,1131,Snow number_EVER,6590,m,Mammalia,Rodentia,Cricetidae,Peromyscus,gossypinus,Peromyscus gossypinus,Cotton Mouse,Small Mammal,29
594,1133,Snow number_EVER,6390,NA,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
595,1134,Snow number_EVER,26700,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
596,1135,Snow number_EVER,25800,m,Mammalia,Carnivora,Procyonidae,Procyon,lotor,Procyon lotor,Raccoon,Mesomammal,5525
597,1137,Snow number_EVER,8140,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
598,1138,Snow number_EVER,NA,f,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,Odocoileus virginianus,White-Tailed Deer,Deer,75000
599,1138,Snow number_EVER,NA,f,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,Odocoileus virginianus,White-Tailed Deer,Deer,75000
600,1139,Snow number_EVER,16720,m,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,Alligator mississippiensis,American Alligator,Reptile,62000
601,1141,Snow number_EVER,7120,f,Aves,Anseriformes,Anatidae,Anas,acuta,Anas acuta,Northern Pintail,Aquatic Bird,945
602,1141,Snow number_EVER,7120,f,Mammalia,Lagomorpha,Leporidae,Sylvilagus,sp,Sylvilagus sp,Unidentifiable rabbit,Rabbit,NA
603,1144,Snow number_EVER,NA,NA,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
604,1145,Snow number_EVER,2630,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
605,1145,Snow number_EVER,2630,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
606,1145,Snow number_EVER,2630,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
607,1151,Snow number_EVER,7070,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
608,1151,Snow number_EVER,7070,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
609,1155,Snow number_EVER,14630,m,Mammalia,Lagomorpha,Leporidae,Sylvilagus,sp,Sylvilagus sp,Unidentifiable rabbit,Rabbit,NA
610,1156,Snow number_EVER,5810,m,Aves,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Bird,NA
611,1156,Snow number_EVER,5810,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
612,1157,Snow number_EVER,7380,m,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
613,1158,Snow number_EVER,10150,f,Aves,Gruiformes,Rallidae,Porphyrio,martinica,Porphyrio martinica,Purple Gallinule,Secretive Marsh Bird,235
614,1158,Snow number_EVER,10150,f,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
615,1159,Snow number_EVER,8194,m,Mammalia,Rodentia,Cricetidae,Peromyscus,gossypinus,Peromyscus gossypinus,Cotton Mouse,Small Mammal,29
616,1160,Snow number_EVER,7900,m,Aves,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Bird,NA
617,1160,Snow number_EVER,7900,m,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
618,1162,Snow number_EVER,4420,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
619,1163,Snow number_EVER,6380,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
620,1165,Snow number_EVER,5690,NA,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
621,1166,Snow number_EVER,8220,m,Mammalia,Rodentia,Sciuridae,Sciurus,niger,Sciurus niger,Fox Squirrel,Small Mammal,762
622,1167,Snow number_EVER,11470,m,Aves,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Bird,NA
623,1169,Snow number_EVER,7070,NA,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Ardea herodias,Great Blue Heron,Wading Bird,2523
624,1171,Snow number_EVER,4380,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
625,1173,Snow number_EVER,3000,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
626,1177,Snow number_EVER,4050,m,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
627,1178,Snow number_EVER,4170,m,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
628,1179,Snow number_EVER,8520,m,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Anas platyrhynchos,Mallard,Aquatic Bird,843
629,1180,Snow number_EVER,1822,m,Mammalia,Rodentia,Cricetidae,Peromyscus,gossypinus,Peromyscus gossypinus,Cotton Mouse,Small Mammal,29
630,1182,Snow number_EVER,13439,f,Aves,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Bird,NA
631,1183,Snow number_EVER,12856,f,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
632,1184,Snow number_EVER,13358,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
633,1186,Snow number_EVER,7660,m,Aves,Pelecaniformes,Ardeidae,Ardea,alba,Ardea alba,Great Egret,Wading Bird,907
634,1186,Snow number_EVER,7660,m,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
635,1187,Snow number_EVER,NA,m,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
636,1193,Snow number_EVER,13900,m,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
637,1194,Snow number_EVER,9880,m,Aves,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Bird,NA
638,1195,Snow number_EVER,5800,m,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
639,1196,Snow number_EVER,4370,m,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,Podilymbus podiceps,Pied-Billed Grebe,Secretive Marsh Bird,412
640,1197,Snow number_EVER,13940,f,Aves,Gruiformes,Rallidae,Gallinula,galeata,Gallinula galeata,Common Gallinule,Secretive Marsh Bird,340
641,1197,Snow number_EVER,13940,f,Mammalia,Rodentia,Cricetidae,Oryzomys,palustris,Oryzomys palustris,Marsh Rice Rat,Small Mammal,54
642,1204,Snow number_EVER,3910,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
643,1205,Snow number_EVER,6074,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
644,1206,Snow number_EVER,9510,m,Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,Virginia Opossum,Mesomammal,2195
645,1206,Snow number_EVER,9510,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
646,1214,Snow number_EVER,3368,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
647,1217,Snow number_EVER,53070,f,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,Odocoileus virginianus,White-Tailed Deer,Deer,75000
648,1224,Snow number_EVER,14790,f,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,Coragyps atratus,Black Vulture,Other Bird,1882
649,1229,Snow number_EVER,4690,m,Aves,Gruiformes,Rallidae,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Secretive Marsh Bird,NA
650,1229,Snow number_EVER,4690,m,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
651,1229,Snow number_EVER,4690,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
652,1233,Snow number_EVER,2350,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
653,1238,Snow number_EVER,3690,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
654,1241,Snow number_EVER,8590,m,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
655,1246,Snow number_EVER,NA,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
656,1247,Snow number_EVER,1260,f,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,Neofiber alleni,Round-Tailed Muskrat,Small Mammal,266
657,1255,Snow number_EVER,NA,f,Mammalia,Rodentia,Sciuridae,Sciurus,niger,Sciurus niger,Fox Squirrel,Small Mammal,762
658,1262,Snow number_EVER,10550,f,Aves,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Bird,NA
659,1262,Snow number_EVER,10550,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
660,1262,Snow number_EVER,10550,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
661,1272,Snow number_EVER,3550,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
662,1272,Snow number_EVER,3550,f,Mammalia,Rodentia,Muridae,Mus,musculus,Mus musculus,House Mouse,Small Mammal,16
663,1280,Snow number_EVER,13300,f,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,albus,Eudocimus albus,White Ibis,Wading Bird,890
664,1301,Snow number_EVER,3450,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
665,1307,Snow number_EVER,13650,f,Mammalia,Lagomorpha,Leporidae,Sylvilagus,palustris,Sylvilagus palustris,Marsh Rabbit,Rabbit,1500
666,1309,Snow number_EVER,3030,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
667,1309,Snow number_EVER,3030,f,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
668,1333,Snow number_EVER,23340,f,Mammalia,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable Mammal,NA
669,1335,Snow number_EVER,130,m,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,Unidentifiable,NA
670,1336,Snow number_EVER,3310,m,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Sigmodon hispidus,Hispid Cotton Rat,Small Mammal,92
671,1337,Snow number_EVER,200,f,Mammalia,Rodentia,Muridae,Rattus,rattus,Rattus rattus,Black Rat,Small Mammal,229
